Gene_stable_ID	Gene_name
ENSMUSG00000078240	Gm3550
ENSMUSG00000031320	Rps4x
ENSMUSG00000010406	Mrpl52
ENSMUSG00000028546	Elavl4
ENSMUSG00000045128	Rpl18a
ENSMUSG00000117338	Gm49804
ENSMUSG00000045103	Dmd
ENSMUSG00000034932	Mrpl54
ENSMUSG00000005102	Eif2ak4
ENSMUSG00000038900	Rpl12
ENSMUSG00000058600	Rpl30
ENSMUSG00000074129	Rpl13a
ENSMUSG00000089989	Gm45713
ENSMUSG00000033845	Mrpl15
ENSMUSG00000000787	Ddx3x
ENSMUSG00000092310	Gm20509
ENSMUSG00000032215	Rsl24d1
ENSMUSG00000022312	Eif3h
ENSMUSG00000040269	Mrps28
ENSMUSG00000048758	Rpl29
ENSMUSG00000036781	Rps27l
ENSMUSG00000062997	Rpl35
ENSMUSG00000030335	Mrpl51
ENSMUSG00000047675	Rps8
ENSMUSG00000071415	Rpl23
ENSMUSG00000025056	Nr0b1
ENSMUSG00000016833	Mrps18c
ENSMUSG00000060938	Rpl26
ENSMUSG00000093674	Rpl41
ENSMUSG00000002767	Mrpl2
ENSMUSG00000020775	Mrpl38
ENSMUSG00000057863	Rpl36
ENSMUSG00000022889	Mrpl39
ENSMUSG00000028495	Rps6
ENSMUSG00000078193	Gm2000
ENSMUSG00000068921	Dap3
ENSMUSG00000081906	Rpl9-ps1
ENSMUSG00000029066	Mrpl20
ENSMUSG00000043716	Rpl7
ENSMUSG00000039069	Mtg2
ENSMUSG00000063888	Rpl7l1
ENSMUSG00000062006	Rpl34
ENSMUSG00000032399	Rpl4
ENSMUSG00000039209	Rpl39l
ENSMUSG00000024079	Eif2ak2
ENSMUSG00000039001	Rps21
ENSMUSG00000022009	Nufip1
ENSMUSG00000065990	Aurkaip1
ENSMUSG00000059070	Rpl18
ENSMUSG00000060036	Rpl3
ENSMUSG00000034729	Mrps10
ENSMUSG00000079435	Rpl36a
ENSMUSG00000026087	Mrpl30
ENSMUSG00000017404	Rpl19
ENSMUSG00000021731	Mrps30
ENSMUSG00000039018	Mtg1
ENSMUSG00000060499	Rpl10l
ENSMUSG00000022412	Mief1
ENSMUSG00000062456	Rpl9-ps6
ENSMUSG00000115798	AC140267.1
ENSMUSG00000023723	Mrps23
ENSMUSG00000098640	Gm14214
ENSMUSG00000008682	Rpl10
ENSMUSG00000061787	Rps17
ENSMUSG00000050621	Rps27rt
ENSMUSG00000060377	Rpl36a-ps1
ENSMUSG00000098559	Gm15013
ENSMUSG00000032518	Rpsa
ENSMUSG00000025794	Rpl14
ENSMUSG00000007892	Rplp1
ENSMUSG00000093922	Rpl36-ps4
ENSMUSG00000034880	Mrpl34
ENSMUSG00000018882	Mrpl45
ENSMUSG00000057388	Mrpl18
ENSMUSG00000025508	Rplp2
ENSMUSG00000050312	Nsun3
ENSMUSG00000037740	Mrps26
ENSMUSG00000063316	Rpl27
ENSMUSG00000039680	Mrps6
ENSMUSG00000116930	Gm49711
ENSMUSG00000032563	Mrpl3
ENSMUSG00000018858	Mrpl58
ENSMUSG00000030744	Rps3
ENSMUSG00000052146	Rps10
ENSMUSG00000023967	Mrps18a
ENSMUSG00000039221	Rpl22l1
ENSMUSG00000003429	Rps11
ENSMUSG00000009927	Rps25
ENSMUSG00000027374	Mrps5
ENSMUSG00000031533	Mrps31
ENSMUSG00000090733	Rps27
ENSMUSG00000035692	Isg15
ENSMUSG00000062981	Mrpl42
ENSMUSG00000049517	Rps23
ENSMUSG00000029815	Malsu1
ENSMUSG00000028861	Mrps15
ENSMUSG00000022706	Mrpl40
ENSMUSG00000024414	Mrpl27
ENSMUSG00000023939	Mrpl14
ENSMUSG00000034211	Mrps17
ENSMUSG00000037772	Mrpl23
ENSMUSG00000021967	Mrpl57
ENSMUSG00000004561	Mettl17
ENSMUSG00000020514	Mrpl22
ENSMUSG00000023025	Larp4
ENSMUSG00000019710	Mrpl24
ENSMUSG00000036850	Mrpl41
ENSMUSG00000060679	Mrps9
ENSMUSG00000060636	Rpl35a
ENSMUSG00000106918	Mrpl33
ENSMUSG00000041841	Rpl37
ENSMUSG00000039640	Mrpl12
ENSMUSG00000031760	Mt3
ENSMUSG00000035559	Mpv17l2
ENSMUSG00000028772	Zcchc17
ENSMUSG00000012405	Rpl15
ENSMUSG00000024436	Mrps18b
ENSMUSG00000022370	Mrpl13
ENSMUSG00000057113	Npm1
ENSMUSG00000038274	Fau
ENSMUSG00000037805	Rpl10a
ENSMUSG00000062328	Rpl17
ENSMUSG00000020460	Rps27a
ENSMUSG00000058558	Rpl5
ENSMUSG00000028081	Rps3a1
ENSMUSG00000063457	Rps15
ENSMUSG00000020477	Mrps24
ENSMUSG00000091014	Gm5244
ENSMUSG00000025290	Rps24
ENSMUSG00000027810	Eif2a
ENSMUSG00000014551	Mrps25
ENSMUSG00000045948	Mrps12
ENSMUSG00000055553	Kxd1
ENSMUSG00000058267	Mrps14
ENSMUSG00000090137	Uba52
ENSMUSG00000037857	Nufip2
ENSMUSG00000026273	Mterf4
ENSMUSG00000090451	Gm6133
ENSMUSG00000030706	Mrpl48
ENSMUSG00000030879	Mrpl17
ENSMUSG00000052751	Repin1
ENSMUSG00000030432	Rpl28
ENSMUSG00000034892	Rps29
ENSMUSG00000021660	Btf3
ENSMUSG00000049751	Rpl36al
ENSMUSG00000034994	Eef2
ENSMUSG00000067288	Rps28
ENSMUSG00000047635	2810006K23Rik
ENSMUSG00000030037	Mrpl53
ENSMUSG00000041453	Rpl21
ENSMUSG00000041881	Ndufa7
ENSMUSG00000057322	Rpl38
ENSMUSG00000000740	Rpl13
ENSMUSG00000063787	Chchd1
ENSMUSG00000047215	Rpl9
ENSMUSG00000001445	Mrpl10
ENSMUSG00000029486	Mrpl1
ENSMUSG00000113061	Rps18-ps5
ENSMUSG00000061477	Rps7
ENSMUSG00000033499	Larp4b
ENSMUSG00000052962	Mrpl35
ENSMUSG00000098274	Rpl24
ENSMUSG00000035772	Mrps2
ENSMUSG00000012848	Rps5
ENSMUSG00000037531	Mrpl47
ENSMUSG00000061983	Rps12
ENSMUSG00000040952	Rps19
ENSMUSG00000003970	Rpl8
ENSMUSG00000058443	Rpl10-ps3
ENSMUSG00000054312	Mrps21
ENSMUSG00000042699	Dhx9
ENSMUSG00000028622	Mrpl37
ENSMUSG00000057841	Rpl32
ENSMUSG00000079641	Rpl39
ENSMUSG00000032459	Mrps22
ENSMUSG00000041632	Mrps27
ENSMUSG00000025889	Snca
ENSMUSG00000020372	Rack1
ENSMUSG00000037331	Larp1
ENSMUSG00000030612	Mrpl46
ENSMUSG00000030611	Mrps11
ENSMUSG00000058546	Rpl23a
ENSMUSG00000028140	Mrpl9
ENSMUSG00000030869	Ndufab1
ENSMUSG00000021607	Mrpl36
ENSMUSG00000063884	Ptcd3
ENSMUSG00000118552	AC124742.1
ENSMUSG00000008668	Rps18
ENSMUSG00000032475	Nck1
ENSMUSG00000029167	Ppargc1a
ENSMUSG00000059291	Rpl11
ENSMUSG00000029918	Mrps33
ENSMUSG00000022548	Apod
ENSMUSG00000024829	Mrpl21
ENSMUSG00000031167	Rbm3
ENSMUSG00000090862	Rps13
ENSMUSG00000062647	Rpl7a
ENSMUSG00000026248	Mrpl44
ENSMUSG00000044533	Rps2
ENSMUSG00000036860	Mrpl55
ENSMUSG00000015672	Mrpl32
ENSMUSG00000002500	Rpl3l
ENSMUSG00000028234	Rps20
ENSMUSG00000046330	Rpl37a
ENSMUSG00000024902	Mrpl11
ENSMUSG00000025208	Mrpl43
ENSMUSG00000108596	Gm49368
ENSMUSG00000025362	Rps26
ENSMUSG00000046756	Mrps7
ENSMUSG00000028706	Nsun4
ENSMUSG00000038762	Abcf1
ENSMUSG00000024608	Rps14
ENSMUSG00000000355	Mcts1
ENSMUSG00000008683	Rps15a
ENSMUSG00000104043	Gm6525
ENSMUSG00000037563	Rps16
ENSMUSG00000049960	Mrps16
ENSMUSG00000024683	Mrpl16
ENSMUSG00000026427	Eif2d
ENSMUSG00000024181	Mrpl28
ENSMUSG00000067274	Rplp0
ENSMUSG00000003299	Mrpl4
ENSMUSG00000068240	Gm11808
ENSMUSG00000033751	Gadd45gip1
ENSMUSG00000042426	Dhx29
ENSMUSG00000044018	Mrpl50
ENSMUSG00000109865	Hspa14
ENSMUSG00000020464	Pnpt1
ENSMUSG00000038880	Mrps34
ENSMUSG00000069919	Hba-a1
ENSMUSG00000069917	Hba-a2
ENSMUSG00000030045	Mrpl19
ENSMUSG00000073702	Rpl31
ENSMUSG00000019235	Rps6kl1
ENSMUSG00000061474	Mrps36
ENSMUSG00000020368	Canx
ENSMUSG00000046364	Rpl27a
ENSMUSG00000069117	Rps18-ps6
ENSMUSG00000006333	Rps9
ENSMUSG00000028936	Rpl22
ENSMUSG00000007338	Mrpl49
ENSMUSG00000029614	Rpl6
ENSMUSG00000111476	Mpv17l2
ENSMUSG00000116070	Mrps10
ENSMUSG00000098375	Mrps23
ENSMUSG00000108747	Zcchc17
ENSMUSG00000116142	LO018689.5
